STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
1790,"PULICATE LAKE , NELLORE DIST",LAKE,"ANDHRA 
PRADESH",21,26,3.8,4.8,7.0,8.4,18830,57090,2.2,2.8,0.74,1.45,3,3,75,210
2353,"KONDAKARLA-AAVA LAKE, 
PARAWADA PHARMA CITY, 
VISHAKHAPATNAM",LAKE,"ANDHRA 
PRADESH",25,28,3.6,6.8,7.1,8.3,580,890,2.4,4.8,1.03,4.52,15,23,150,460
4368,"KOLLERU LAKE 
KOKKIRAYALANKA (V), 
KAILALUR (M)",LAKE,"ANDHRA 
PRADESH",23,29,0.5,5.4,6.8,8.4,675,13800,1.7,6.2,1.30,8.62,11,23,150,1100
4391,"CHENGAMBAKAM TANK IN SRI 
CITY SEZ, TIRUPATHI",TANK,"ANDHRA 
PRADESH",26,30,5.3,6.7,6.4,7.6,206,670,0.8,2.5,0.11,3.30,47,200,210,600
1529,"DEEPAR BEEL, ASSAM",LAKE,ASSAM,18,35,7.2,10.2,7.3,8.0,188,240,2.1,3.8,1.00,1.80,300,910,720,1500
2205,"MER BEEL AT MADHABPUR, 
ASSAM",LAKE,ASSAM,20,28,4.2,6.8,6.8,7.6,25,140,1.1,2.4,0.60,1.00,300,360,720,1400
2206,"DALONI BEEL NEAR 
JOGIGHOPA, ASSAM",LAKE,ASSAM,22,34,4.1,5.4,7.0,8.1,43,67,1.1,2.4,0.40,1.10,2,360,300,910
2218,"DEEPAR BEEL AT BORAGAON 
NEAR IASST, GUWAHATI, 
ASSAM",LAKE,ASSAM,18,32,4.5,11.2,7.1,8.0,189,244,2.8,3.9,1.20,2.00,300,730,360,1500
3785,"BORBEEL NO. 1 , RAM NAGAR, 
DIGBOI, PUBLIC WATER 
SUPPLY, TINSUKIA",LAKE,ASSAM,24,25,0.3,0.3,7.3,7.4,177,273,1.1,2.3,0.70,0.70,2,2,2,2
3787,"HOLUDUNGA BEEL NEAR GAI 
NADI/ RIVER AT SOMARAJAN, 
DHEMA JI",LAKE,ASSAM,20,27,5.0,9.0,7.1,7.8,68,94,1.8,2.4,0.50,0.90,300,730,700,2000
3789,"BORDOIBAM BEELMUKH BIRD 
SANCTUARY, DHEMAJI",LAKE,ASSAM,20,25,5.0,7.6,7.0,8.0,189,218,1.3,2.6,0.70,1.40,300,730,700,2000
3798,"SAMAGURI BEEL IN NAGAON 
DISTRICT",LAKE,ASSAM,17,35,4.1,5.8,7.0,7.6,89,116,1.3,2.8,0.70,1.20,300,730,360,1500
3800,"MALINI BEEL NEAR INDUTRIAL 
AREA AT RAMNAGAR",LAKE,ASSAM,20,25,4.0,4.5,6.2,7.4,126,152,2.1,2.6,0.70,1.10,300,360,360,1500
3804,"SON BEEL WATER AT 
KARIMGANJ",LAKE,ASSAM,21,25,4.1,5.8,6.8,7.3,106,150,1.3,2.3,0.60,1.30,300,720,720,2000
3808,PARASHALI BEEL AT DEMORIA,LAKE,ASSAM,21,36,4.0,8.5,6.4,7.7,96,148,1.6,2.7,0.70,2.00,300,910,720,2100
3812,"KAMALPUR BEEL, KAMALPUR",LAKE,ASSAM,18,35,1.4,5.6,7.0,7.7,1139,1168,22.5,29.2,1.60,4.60,360,1100,1400,3500
,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max
3814,"SILSAKO BEEL, CHACHAL, 
GUWAHATI",LAKE,ASSAM,20,34,0.3,2.4,6.9,7.8,480,530,13.0,16.3,1.10,2.20,1100,2900,2700,4400
