STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
4692,"RAMANTHAPUR CHERUVU, UPPAL (V)",LAKE,TELANGANA,27.0,28.0,1.2,2.0,7.1,7.5,910,1027,10.00,12.00,9.00,18.00,18,20,330,350
4693,"PATEL CHERUVU, UPPAL (V)",LAKE,TELANGANA,26.0,28.0,0.1,1.8,7.1,7.6,820,1152,12.00,18.00,2.60,3.80,11,28,318,350
4694,"MUNDLA KATWA, MOOSAPET (V), 
KUKATPALLY",LAKE,TELANGANA,26.0,29.0,0.1,3.2,6.9,7.9,1286,1709,16.00,44.00,8.00,22.45,8,26,326,1200
4695,"KHAJA KUNTA, KUKATPALLY (V)",LAKE,TELANGANA,27.0,29.0,0.0,2.1,7.1,7.7,1308,1633,60.00,63.00,12.00,72.30,17,39,350,1600
4696,"PARKI CHERUVU, KUKATPALLY (V), 
BALANAGAR",LAKE,TELANGANA,26.0,29.0,0.0,2.7,7.1,7.9,1213,2053,20.00,38.00,3.20,88.54,2,70,BDL,540
4697,"MUKKIDI CHERUVU (RAMAKRISHNAPURAM 
LAKE), MALKAJIGRI",LAKE,TELANGANA,26.0,29.0,0.0,0.1,8.0,8.3,1180,1300,25.00,28.00,47.00,48.80,2,2,20,21
4698,"MANNEVARI KUNTA, MACHABOLLARAM (V) 
ALWAL",LAKE,TELANGANA,27.0,30.0,1.2,1.5,7.0,7.1,2200,2216,50.00,53.00,51.87,52.00,2,32,300,350
4699,"KAPRAI CHERUVU, SAHEBNAGAR (V), 
HAYATHNAGAR",LAKE,TELANGANA,27.0,27.0,2.8,3.0,6.7,7.8,320,380,3.00,3.00,2.20,2.80,2,2,BDL,BDL
4701,"LINGAM KUNTA, CHANDANAGAR (V) 
SERLINGAMPALLY",LAKE,TELANGANA,27.0,30.0,0.0,1.0,6.8,7.7,1420,1570,18.00,28.00,11.00,18.00,17,34,260,430
4702,"PEDDA CHERUVU - KHAJA GUDA, KHJAGUDA 
(V), SERLINGAMPALLY 9NEW MANDAL)",LAKE,TELANGANA,27.0,34.0,0.1,3.6,6.8,8.2,1052,1989,10.00,38.00,2.78,29.50,26,240,430,1140
4705,"KOTHA CHERUVU (ALWAL CHERUVU), ALWAL 
(V)",LAKE,TELANGANA,26.0,30.0,0.1,3.8,7.1,8.2,1382,2113,10.00,78.00,24.00,89.11,18,33,280,430
4677,"LINGAM CHERUVU, SURARAM (V), 
QUTHUBULLAPUR",LAKE,TELANGANA,27.0,29.0,0.1,3.2,7.1,7.6,1660,2047,24.00,50.00,16.00,48.20,2,28,BDL,350
4678,"PATEL CHERUVU, NACHARAM (V), UPPAL 
(NEW MANDAL)",LAKE,TELANGANA,27.0,29.0,0.1,1.0,7.2,7.5,1409,1604,32.00,52.00,8.00,30.00,22,28,350,540
