STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
1790,"PULICATE LAKE , NELLORE 
DIST., A.P",LAKE,"ANDHRA 
PRADESH",28.0,28.0,5.2,7.4,7.1,8.0,8670,47200,1.6,7.1,1.3,2.9,2,4,1100,1600
2353,"KONDACHARLAAAVA LAKE, 
PARAWADA PHARMA CITY, 
VISHA",LAKE,"ANDHRA 
PRADESH",26.0,30.0,5.5,7.0,7.1,8.3,817,1108,1.2,1.5,1.2,2.8,15,39,350,2400
2205,"MER BEEL AT MADHABPUR, 
ASSAM",LAKE,ASSAM,15.0,24.0,0.5,8.9,5.6,7.2,30,116,3.2,62.0,0.2,8.0,2,2700,2,21000
2206,"DALONI BEEL NEAR 
JOGIGHOPA, ASSAM",LAKE,ASSAM,20.0,36.0,5.1,7.9,6.8,9.5,52,197,0.8,2.1,0.1,1.1,2,360,2,910
1263,"ELANGABEEL SYSTEM POND 
(CONNECTED TO R. KOLANG)",POND,ASSAM,20.0,36.0,1.6,6.0,6.7,7.8,461,958,3.8,18.0,0.7,2.3,300,2800,360,110000
2207,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,15.0,25.0,3.0,7.4,5.7,7.1,105,212,2.1,10.0,0.1,2.1,2,3500,360,24000
2208,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,18.0,32.0,4.3,7.2,6.3,8.4,20,38,1.3,3.1,0.1,3.0,2,360,300,730
2209,"GAURISAGAR TANK, 
GAURISAGAR, ASSAM",POND,ASSAM,22.0,32.0,4.8,8.2,6.3,7.9,21,41,0.9,3.6,0.1,1.1,2,730,300,1500
2210,"RAJMAW PUKHURI, JORHAT, 
ASSAM",POND,ASSAM,19.0,33.0,5.3,7.8,6.5,7.6,44,96,1.4,5.9,0.3,1.6,2,910,360,2800
2211,"PADUMPUKHURI, TEZPUR, 
ASSAM",POND,ASSAM,20.0,33.0,6.8,8.4,7.1,8.9,218,279,3.4,17.5,0.1,1.7,2,910,2,910
2212,"GOPHUR TANK, GOPHUR, 
ASSAM",POND,ASSAM,20.0,32.0,7.0,9.0,6.3,9.2,64,83,3.0,12.4,0.2,3.0,2,2800,2,21000
2213,"JAIPAL PUKHURI, SIPAJHAR, 
ASSAM",POND,ASSAM,20.0,32.0,6.5,8.6,6.7,8.5,17,244,3.2,8.0,0.1,1.5,2,730,2,1400
2214,"BOTODRIVA SATRA POND, 
NAGAON, ASSAM",POND,ASSAM,22.0,34.0,3.8,9.0,6.3,7.9,18,152,4.6,9.0,0.1,1.9,2,910,2,1400
2215,"SARAN BEEL, ASSAM",POND,ASSAM,22.0,36.0,1.8,10.0,6.0,7.4,51,88,1.8,6.0,0.2,1.2,2,2000,2,12000
2216,"DIGHALI PUKHURI, 
GUWAHATI, ASSAM",POND,ASSAM,23.0,30.0,4.6,14.5,7.7,9.3,145,185,3.2,28.2,0.3,1.9,2,3500,2,240000
2217,"SUBHAGYA KUNDA POND 
KAMAKHYA TEMPLE, 
GUWAHATI, ASS",POND,ASSAM,22.0,30.0,4.5,11.0,6.3,8.1,282,441,2.8,16.0,0.2,2.4,2,21000,2,21000
2218,"DEEPAR BEEL AT BORAGAON 
NEAR IASST, GUWAHATI, ASSA",POND,ASSAM,24.0,33.0,3.8,13.1,6.1,9.7,125,325,2.6,14.8,0.1,1.7,2,910,2,4200
2219,"BISHNU PUSKAR PUKHURI OF 
HAYAGRIB MADHAB TEMPLE",POND,ASSAM,20.0,34.0,4.7,11.0,6.8,8.7,195,225,3.9,14.0,0.1,2.1,2,1500,2,4300
2220,"CHAND DUBI BEEL, CHAND 
DUBI, ASSAM",POND,ASSAM,20.0,36.0,4.6,10.6,5.8,7.6,18,42,1.4,4.5,0.2,1.4,2,910,2,2300
2221,"GANGA PUKHURI, NALBARI 
(GORDON SCHOOL), ASSAM",POND,ASSAM,22.0,36.0,0.0,10.0,6.9,8.3,50,58,1.5,7.0,0.2,1.3,2,1500,300,7500
2222,"RAJADINIA PUKHURI AT 
ABHAYAPURI, ASSAM",POND,ASSAM,22.0,38.0,4.8,5.6,6.5,7.9,10,112,1.1,2.8,0.1,1.1,2,2100,2,3900
2223,"MAHAMAYA MANDIR 
PUKHURI, ASSAM",POND,ASSAM,23.0,35.0,2.0,6.2,6.6,7.8,43,51,1.3,2.4,0.1,1.1,2,1500,730,29000
2224,"RAJAPUKHURI AT GAURIPUR, 
ASSAM",POND,ASSAM,22.0,36.0,4.8,7.0,6.8,7.7,53,76,1.2,4.0,0.1,1.2,2,1500,360,3900
2225,"BASKANDI POND INSIDE THE 
BASKANDI MADRASA, 
BASKAND",POND,ASSAM,20.0,25.0,3.1,5.6,6.8,7.2,94,136,2.3,5.0,0.4,4.3,2,730,2,2000
2226,"SIVASAGAR TANK 
(BORPUKHURI) NEAR 
SIVADOL, ASSAM",POND,ASSAM,18.0,33.0,4.0,7.8,6.2,7.9,18,33,1.2,4.2,0.1,1.1,2,360,360,1100
2227,"HORDAI PUKHURI, 
CHARAIDEW, ASSAM",POND,ASSAM,21.0,33.0,5.5,8.1,6.5,7.8,23,34,1.8,3.4,0.3,1.9,2,910,360,1400
2228,"GALA BEEL AT DERGAON, 
ASSAM",POND,ASSAM,21.0,31.0,5.5,9.5,6.0,7.7,29,37,1.0,2.6,0.1,1.4,2,2000,2,21000
3772,BORPUKHURI AT SONARI,POND,ASSAM,19.0,33.0,4.9,8.5,6.3,7.5,50,95,1.6,4.0,0.6,1.6,2,720,360,1500
3806,"POND WATER FROM 
RAMKRISHNA MISSION AT 
HAILAKANDI",POND,ASSAM,21.0,25.0,4.0,4.2,6.7,7.3,104,166,2.6,4.1,0.7,1.3,2,1500,2,2000
3809,"JORPUKHURI AT UZANBAZAR 
(UGRATALA TEMPLE)",POND,ASSAM,23.0,32.0,3.2,8.4,6.8,8.9,302,364,2.8,23.5,0.2,3.8,360,240000,730,240000
4006,"NETAI PUKHURI AT NETAI 
PUKHURI",POND,ASSAM,20.0,32.0,2.5,6.5,6.2,7.9,20,49,1.3,2.8,0.1,1.3,600,910,910,2100
1532,"*GOYSAGAR TANK, SIBSAGAR, 
ASSAM",TANK,ASSAM,21.0,32.0,5.0,8.3,6.1,7.7,10,27,0.9,3.2,0.1,1.6,2,730,300,1100
2557,KAWAR LAKE BEGUSARAI,LAKE,BIHAR,17.0,33.0,8.2,14.8,7.2,8.5,149,465,2.4,2.8,0.0,35.0,4000,11000,11000,22000
