STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
1790,"PULICATE LAKE , NELLORE 
DIST.",LAKE,"ANDHRA 
PRADESH",27.0,28.0,5.1,6.9,7.1,8.5,3270,156600,1.0,2.3,0.65,6.90,2,2,800,1600
2353,"KONDACHARLA-AAVA LAKE, 
PARAWADA PHARMA CITY, 
VISHAKHAPATNAM, A.P",LAKE,"ANDHRA 
PRADESH",24.0,28.0,5.9,6.8,6.9,8.4,597,1034,1.3,2.3,1.16,3.36,11,29,350,2400
2205,"MER BEEL AT MADHABPUR, 
ASSAM",LAKE,ASSAM,20.0,27.0,2.2,7.2,5.7,7.0,50,128,1.0,16.2,0.10,1.70,300,2000,360,6400
2206,"DALONI BEEL NEAR 
JOGIGHOPA, ASSAM",LAKE,ASSAM,22.0,36.0,5.1,6.0,6.6,7.8,54,153,0.9,2.8,0.10,1.40,300,1200,300,5300
1263,"ELANGABEEL SYSTEM POND 
(CONNECTED TO R. KOLANG), 
ASSAM",POND,ASSAM,22.0,34.0,0.7,4.6,6.8,8.4,263,972,4.5,14.7,0.80,5.70,1100,3500,730,21000
2207,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,20.0,35.0,3.5,6.8,6.1,7.3,26,235,2.2,18.1,0.50,1.90,300,2100,360,29000
2208,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,18.0,31.0,5.0,7.3,5.8,7.6,25,38,2.0,3.2,0.10,2.50,360,1500,300,15000
2209,"GAURISAGAR TANK, 
GAURISAGAR, ASSAM",POND,ASSAM,20.0,32.0,5.2,8.1,5.6,7.8,23,38,1.9,4.1,0.10,1.70,360,2800,360,21000
2210,"RAJMAW PUKHURI, JORHAT, 
ASSAM",POND,ASSAM,21.0,32.0,5.1,6.5,6.7,7.4,45,81,1.1,4.8,0.10,1.90,300,1500,300,4400
2211,"PADUMPUKHURI, TEZPUR, 
ASSAM",POND,ASSAM,22.0,30.0,7.2,8.3,7.1,9.1,195,264,3.8,12.7,0.90,3.40,300,720,300,4400
2212,"GOPHUR TANK, GOPHUR, 
ASSAM",POND,ASSAM,20.0,30.0,7.4,9.2,6.8,7.8,64,92,2.8,6.2,0.20,1.20,360,2000,360,3600
2213,"JAIPAL PUKHURI, SIPAJHAR, 
ASSAM",POND,ASSAM,20.0,31.0,7.0,8.3,7.2,8.8,26,246,4.5,18.8,0.70,2.10,300,910,360,1500
2214,"BOTODRIVA SATRA POND, 
NAGAON, ASSAM",POND,ASSAM,23.0,38.0,2.6,8.0,6.1,7.2,26,44,3.3,18.9,0.20,1.30,300,2000,910,4400
2215,"SARAN BEEL, ASSAM",POND,ASSAM,23.0,34.0,1.2,5.9,5.9,7.8,8,79,1.2,4.8,0.50,1.70,300,2100,910,29000
2216,"DIGHALI PUKHURI, 
GUWAHATI, ASSAM",POND,ASSAM,23.0,32.0,6.4,10.5,7.7,9.2,153,220,3.0,15.5,0.80,2.90,300,1500,360,4400
2217,"SUBHAGYA KUNDA POND 
KAMAKHYA TEMPLE, 
GUWAHATI, ASSAM",POND,ASSAM,19.0,31.0,3.7,9.9,6.7,7.9,282,417,2.8,6.2,1.60,3.00,700,21000,360,240000
2218,"DEEPAR BEEL AT BORAGAON 
NEAR IASST, GUWAHATI, 
ASSAM",POND,ASSAM,21.0,31.0,4.5,12.4,6.2,9.6,122,313,2.4,7.2,0.70,18.72,300,2000,730,3600
2219,"BISHNU PUSKAR PUKHURI OF 
HAYAGRIB MADHAB TEMPLE, 
HAJO, ASSAM",POND,ASSAM,22.0,34.0,1.9,15.1,6.6,8.5,190,237,4.2,14.2,0.70,1.80,300,1500,910,21000
2220,"CHAND DUBI BEEL, CHAND 
DUBI, ASSAM",POND,ASSAM,22.0,34.0,5.2,8.5,5.5,7.3,26,48,1.6,2.9,0.70,4.50,300,730,360,2700
2221,"GANGA PUKHURI, NALBARI 
(GORDON SCHOOL), ASSAM",POND,ASSAM,23.0,35.0,3.9,10.8,6.7,7.8,50,176,2.2,4.8,0.30,1.40,300,2700,300,12000
2222,"RAJADINIA PUKHURI AT 
ABHAYAPURI, ASSAM",POND,ASSAM,23.0,36.0,4.5,5.7,6.1,7.9,24,28,1.0,7.6,0.10,1.40,300,730,360,2400
2223,"MAHAMAYA MANDIR 
PUKHURI, ASSAM",POND,ASSAM,22.0,35.0,4.7,5.9,6.4,7.6,27,58,1.4,6.1,1.00,4.10,300,3500,360,4400
2224,"RAJAPUKHURI AT GAURIPUR, 
ASSAM",POND,ASSAM,23.0,36.0,4.6,5.7,6.7,7.4,31,94,1.1,7.9,0.80,5.10,300,2000,360,15000
2225,"BASKANDI POND INSIDE THE 
BASKANDI MADRASA, 
BASKANDI, ASSAM",POND,ASSAM,22.0,27.0,4.7,5.8,6.7,7.6,63,136,2.8,8.1,0.20,1.40,300,1500,300,110000
2226,"SIVASAGAR TANK 
(BORPUKHURI) NEAR 
SIVADOL, ASSAM",POND,ASSAM,17.0,32.0,5.3,6.7,6.1,8.1,24,42,1.7,4.2,0.10,1.10,300,2000,360,24000
